gamma	seed	site	mass
0.5000	1	25	0
0.5000	1	26	0
0.5000	1	27	0
0.5000	1	28	0
0.5000	1	29	0
0.5000	1	30	0
0.5000	1	31	0
0.5000	1	32	0
0.5000	1	33	0
0.5000	1	34	7
0.5000	1	35	4
0.5000	1	36	0
0.5000	1	37	4
0.5000	1	38	6
0.5000	1	39	8
0.5000	1	40	6
0.5000	1	41	6
0.5000	1	42	8
0.5000	1	43	8
0.5000	1	44	4
0.5000	1	45	9
0.5000	1	46	9
0.5000	1	47	10
0.5000	1	48	8
0.5000	1	49	11
0.5000	1	50	9
0.5000	1	51	9
0.5000	1	52	7
0.5000	1	53	5
0.5000	1	54	12
0.5000	1	55	0
0.5000	1	56	11
0.5000	1	57	10
0.5000	1	58	10
0.5000	1	59	14
0.5000	1	60	14
0.5000	1	61	4
0.5000	1	62	4
0.5000	1	63	10
0.5000	1	64	4
0.5000	1	65	10
0.5000	1	66	4
0.5000	1	67	12
0.5000	1	68	0
0.5000	1	69	4
0.5000	1	70	4
0.5000	1	71	0
0.5000	1	72	0
0.5000	1	73	0
0.5000	1	74	0
0.5000	1	75	0
0.5000	1	76	0
0.5000	1	77	0
0.5000	1	78	0
0.5000	1	79	0
0.5000	2	0	0
0.5000	2	1	0
0.5000	2	2	0
0.5000	2	3	0
0.5000	2	4	0
0.5000	2	5	0
0.5000	2	6	0
0.5000	2	7	0
0.5000	2	8	0
0.5000	2	9	1
0.5000	2	10	0
0.5000	2	11	0
0.5000	2	12	7
0.5000	2	13	0
0.5000	2	14	8
0.5000	2	15	7
0.5000	2	16	10
0.5000	2	17	10
0.5000	2	18	0
0.5000	2	19	3
0.5000	2	20	7
0.5000	2	21	7
0.5000	2	22	0
0.5000	2	23	3
0.5000	2	24	0
0.5000	2	25	6
0.5000	2	26	4
0.5000	2	27	11
0.5000	2	28	5
0.5000	2	29	9
0.5000	2	30	10
0.5000	2	31	2
0.5000	2	32	7
0.5000	2	33	3
0.5000	2	34	0
0.5000	2	35	0
0.5000	2	36	0
0.5000	2	37	0
0.5000	2	38	4
0.5000	2	39	4
0.5000	2	40	0
0.5000	2	41	0
0.5000	2	42	0
0.5000	2	43	0
0.5000	2	44	9
0.5000	2	45	0
0.5000	2	46	3
0.5000	2	47	0
0.5000	2	48	9
0.5000	2	49	6
0.5000	2	50	0
0.5000	2	51	8
0.5000	2	52	6
0.5000	2	53	0
0.5000	2	54	0
0.5000	2	55	6
0.5000	2	56	0
0.5000	2	57	0
0.5000	2	58	0
0.5000	2	59	7
0.5000	2	60	11
0.5000	2	61	11
0.5000	2	62	0
0.5000	2	63	0
0.5000	2	64	0
0.5000	2	65	0
0.5000	2	66	0
0.5000	2	67	8
0.5000	2	68	8
0.5000	2	69	5
0.5000	2	70	7
0.5000	2	71	8
0.5000	2	72	5
0.5000	2	73	4
0.5000	2	74	10
0.5000	2	75	0
0.5000	2	76	0
0.5000	2	77	0
0.5000	2	78	6
0.5000	2	79	0
0.5000	3	0	0
0.5000	3	1	1
0.5000	3	2	4
0.5000	3	3	4
0.5000	3	4	4
0.5000	3	5	5
0.5000	3	6	6
0.5000	3	7	9
0.5000	3	8	0
0.5000	3	9	0
0.5000	3	10	10
0.5000	3	11	6
0.5000	3	12	16
0.5000	3	13	11
0.5000	3	14	11
0.5000	3	15	11
0.5000	3	16	10
0.5000	3	17	10
0.5000	3	18	12
0.5000	3	19	12
0.5000	3	20	0
0.5000	3	21	10
0.5000	3	22	15
0.5000	3	23	15
0.5000	3	24	15
0.5000	3	25	11
0.5000	3	26	17
0.5000	3	27	12
0.5000	3	28	14
0.5000	3	29	14
0.5000	3	30	9
0.5000	3	31	12
0.5000	3	32	12
0.5000	3	33	16
0.5000	3	34	15
0.5000	3	35	13
0.5000	3	36	10
0.5000	3	37	16
0.5000	3	38	9
0.5000	3	39	12
0.5000	3	40	14
0.5000	3	41	16
0.5000	3	42	11
0.5000	3	43	14
0.5000	3	44	14
0.5000	3	45	12
0.5000	3	46	11
0.5000	3	47	12
0.5000	3	48	0
0.5000	3	49	8
0.5000	3	50	8
0.5000	3	51	0
0.5000	3	52	10
0.5000	3	53	14
0.5000	3	54	10
0.5000	3	55	6
0.5000	3	56	11
0.5000	3	57	11
0.5000	3	58	2
0.5000	3	59	5
0.5000	3	60	0
0.5000	3	61	0
0.5000	3	62	4
0.5000	3	63	0
0.5000	3	64	0
0.5000	3	65	0
0.5000	3	66	0
0.5000	3	67	0
0.5000	3	68	0
0.5000	3	69	0
0.5000	3	70	0
0.5000	3	71	0
0.5000	3	72	0
0.5000	3	73	0
0.5000	3	74	0
0.5000	3	75	0
0.5000	3	76	0
0.5000	3	77	0
0.5000	3	78	0
0.5000	3	79	0
0.6250	1	0	0
0.6250	1	1	0
0.6250	1	2	0
0.6250	1	3	0
0.6250	1	4	0
0.6250	1	5	0
0.6250	1	6	0
0.6250	1	7	3
0.6250	1	8	3
0.6250	1	9	3
0.6250	1	10	3
0.6250	1	11	3
0.6250	1	12	0
0.6250	1	13	0
0.6250	1	14	0
0.6250	1	15	0
0.6250	1	16	0
0.6250	1	17	0
0.6250	1	18	0
0.6250	1	19	0
0.6250	1	20	0
0.6250	1	21	0
0.6250	1	22	0
0.6250	1	23	1
0.6250	1	24	0
0.6250	1	25	0
0.6250	1	26	0
0.6250	1	27	0
0.6250	1	28	0
0.6250	1	29	0
0.6250	1	30	1
0.6250	1	31	0
0.6250	1	32	0
0.6250	1	33	0
0.6250	1	34	0
0.6250	1	35	0
0.6250	1	36	0
0.6250	1	37	0
0.6250	1	38	0
0.6250	1	39	5
0.6250	1	40	0
0.6250	1	41	0
0.6250	1	42	1
0.6250	1	43	3
0.6250	1	44	3
0.6250	1	45	8
0.6250	1	46	7
0.6250	1	47	3
0.6250	1	48	0
0.6250	1	49	2
0.6250	1	50	2
0.6250	1	51	0
0.6250	1	52	1
0.6250	1	53	0
0.6250	1	54	7
0.6250	1	55	1
0.6250	1	56	1
0.6250	1	57	0
0.6250	1	58	7
0.6250	1	59	0
0.6250	1	60	1
0.6250	1	61	1
0.6250	1	62	0
0.6250	1	63	3
0.6250	1	64	0
0.6250	1	65	0
0.6250	1	66	1
0.6250	1	67	0
